state,report_for_period_ending,non_exempt_1st_payment,non_exempt_intrastate_matches,non_exempt_interstate_matches,exempt_1st_payment,exempt_intrastate_matches,exempt_interstate_matches,md_fy_num,md_fy_str,reemployment_rate
AK,2019-03-31,3352,2124,307,2841,2190,22,2018,2018-2019,0.725238663484487
AK,2019-06-30,2195,1326,307,1497,1198,22,2018,2018-2019,0.743963553530752
AK,2019-09-30,1608,739,307,904,620,22,2019,2019-2020,0.650497512437811
AK,2019-12-31,3931,1909,307,2455,1372,22,2019,2019-2020,0.563724243195116
AK,2020-03-31,3195,1542,307,2868,1861,22,2019,2019-2020,0.578716744913928
AK,2020-06-30,3876,2440,307,45922,28975,22,2019,2019-2020,0.708720330237358
AK,2020-09-30,638,299,307,7914,3864,22,2020,2020-2021,0.949843260188088
AK,2020-12-31,3046,1333,307,7165,3856,22,2020,2020-2021,0.538411030860145
AK,2021-03-31,2757,1572,307,5541,3619,22,2020,2020-2021,0.681537903518317
AK,2021-06-30,4205,2565,307,2991,2171,22,2020,2020-2021,0.682996432818074
AK,2021-09-30,2471,1170,192,1374,795,51,2021,2021-2022,0.551193848644274
AK,2021-12-31,3465,1819,255,2160,1132,73,2021,2021-2022,0.598556998556999
AK,2022-03-31,1896,1242,125,2017,1573,38,2021,2021-2022,0.720991561181435
AK,2022-06-30,1372,888,77,1249,999,17,2021,2021-2022,0.7033527696793
AK,2022-09-30,1168,522,136,835,512,16,2022,2022-2023,0.563356164383562
AK,2022-12-31,2391,1224,200,1973,1139,56,2022,2022-2023,0.595566708490171
AK,2023-03-31,1823,1206,101,1819,1465,22,2022,2022-2023,0.716950082281953
AK,2023-06-30,1235,791,84,1090,860,9,2022,2022-2023,0.708502024291498
AK,2023-09-30,1030,434,109,742,480,21,2023,2023-2024,0.527184466019418
AK,2023-12-31,2656,1263,265,1807,1043,53,2023,2023-2024,0.575301204819277
AK,2024-03-31,1688,1045,120,1639,1250,16,2023,2023-2024,0.690165876777251
