state,report_for_period_ending,indicator_type,0-7,15-21,22-28,29-35,36-42,43-49,50-56,57-63,64-70,71-+,8-14,total,21days_or_fewer,nonmonetary_determination_time_lapse,md_fy_num,md_fy_str
AK,2019-01-31,inter-total,244,69,22,13,5,8,5,1,0,29,137,533,450,0.844277673545966,2018,2018-2019
AK,2019-01-31,inter-ucfe,13,5,0,0,0,0,0,0,0,0,1,19,19,1,2018,2018-2019
AK,2019-01-31,inter-ucx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,2018-2019
AK,2019-01-31,inter-ui,231,64,22,13,5,8,5,1,0,29,136,514,431,0.83852140077821,2018,2018-2019
AK,2019-01-31,intra-total,2507,477,188,106,50,25,11,11,7,11,824,4217,3808,0.903011619634811,2018,2018-2019
AK,2019-01-31,intra-ucfe,103,0,3,0,0,0,0,0,0,0,14,120,117,0.975,2018,2018-2019
AK,2019-01-31,intra-ucx,7,1,0,1,0,0,0,0,0,0,1,10,9,0.9,2018,2018-2019
AK,2019-01-31,intra-ui,2397,476,185,105,50,25,11,11,7,11,809,4087,3682,0.900905309517984,2018,2018-2019
AK,2019-02-28,inter-total,207,39,15,11,10,7,1,1,1,1,102,395,348,0.881012658227848,2018,2018-2019
AK,2019-02-28,inter-ucfe,12,1,0,0,0,0,0,0,0,0,1,14,14,1,2018,2018-2019
AK,2019-02-28,inter-ucx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,2018-2019
AK,2019-02-28,inter-ui,195,38,15,11,10,7,1,1,1,1,101,381,334,0.876640419947507,2018,2018-2019
AK,2019-02-28,intra-total,2058,389,147,115,63,54,29,12,9,14,780,3670,3227,0.879291553133515,2018,2018-2019
AK,2019-02-28,intra-ucfe,53,6,3,1,1,1,0,0,0,0,15,80,74,0.925,2018,2018-2019
AK,2019-02-28,intra-ucx,6,0,0,1,0,0,0,0,0,0,1,8,7,0.875,2018,2018-2019
