state_name,state,gni_per_capita_2023
Alabama,AL,54209
Alaska,AK,71611
Arizona,AZ,62543
Arkansas,AR,57635
California,CA,81255
Colorado,CO,80068
Connecticut,CT,89945
Delaware,DE,66850
District of Columbia,DC,106816
Florida,FL,68703
Georgia,GA,59882
Hawaii,HI,66175
Idaho,ID,59385
Illinois,IL,72245
Indiana,IN,61243
Iowa,IA,62779
Kansas,KS,66115
Kentucky,KY,55360
Louisiana,LA,58845
Maine,ME,65105
Maryland,MD,75391
Massachusetts,MA,90596
Michigan,MI,61144
Minnesota,MN,72557
Mississippi,MS,49652
Missouri,MO,62604
Montana,MT,64989
Nebraska,NE,71347
Nevada,NV,66238
New Hampshire,NH,78944
New Jersey,NJ,82103
New Mexico,NM,55343
New York,NY,82323
North Carolina,NC,61839
North Dakota,ND,72041
Ohio,OH,61495
Oklahoma,OK,60545
Oregon,OR,67838
Pennsylvania,PA,68945
Rhode Island,RI,67562
South Carolina,SC,57332
South Dakota,SD,72466
Tennessee,TN,62229
Texas,TX,66252
Utah,UT,64175
Vermont,VT,66932
Virginia,VA,73841
Washington,WA,80930
West Virginia,WV,52826
Wisconsin,WI,64976
Wyoming,WY,82060
