state,nonmonetary_separation_quality_percent,nonmonetary_nonseparation_quality_percent,end_year,start_date,end_date,md_fy_num,md_fy_str
AK,84.2,82.3,2019,2018-07-01,2019-06-30,2018,2018-2019
AL,73.5,97.5,2019,2018-07-01,2019-06-30,2018,2018-2019
AR,90.7,90.7,2019,2018-07-01,2019-06-30,2018,2018-2019
AZ,50.2,75.5,2019,2018-07-01,2019-06-30,2018,2018-2019
CA,79.3,88.9,2019,2018-07-01,2019-06-30,2018,2018-2019
CO,81.8,84.5,2019,2018-07-01,2019-06-30,2018,2018-2019
CT,75.6,82.4,2019,2018-07-01,2019-06-30,2018,2018-2019
DC,76.1,85.3,2019,2018-07-01,2019-06-30,2018,2018-2019
DE,81.7,88.5,2019,2018-07-01,2019-06-30,2018,2018-2019
FL,49.5,71.1,2019,2018-07-01,2019-06-30,2018,2018-2019
GA,77.1,64.1,2019,2018-07-01,2019-06-30,2018,2018-2019
HI,81.7,86,2019,2018-07-01,2019-06-30,2018,2018-2019
IA,79.8,85.4,2019,2018-07-01,2019-06-30,2018,2018-2019
ID,93.3,87.4,2019,2018-07-01,2019-06-30,2018,2018-2019
IL,76.5,83,2019,2018-07-01,2019-06-30,2018,2018-2019
IN,76.2,91,2019,2018-07-01,2019-06-30,2018,2018-2019
KS,66.6,69.6,2019,2018-07-01,2019-06-30,2018,2018-2019
KY,73.9,81.9,2019,2018-07-01,2019-06-30,2018,2018-2019
LA,89.3,89.9,2019,2018-07-01,2019-06-30,2018,2018-2019
MA,59.9,73.8,2019,2018-07-01,2019-06-30,2018,2018-2019
MD,80.9,89.6,2019,2018-07-01,2019-06-30,2018,2018-2019
ME,80.5,94.5,2019,2018-07-01,2019-06-30,2018,2018-2019
MI,85.6,91.3,2019,2018-07-01,2019-06-30,2018,2018-2019
MN,82.7,89,2019,2018-07-01,2019-06-30,2018,2018-2019
MO,78.1,92.2,2019,2018-07-01,2019-06-30,2018,2018-2019
MS,95,97.3,2019,2018-07-01,2019-06-30,2018,2018-2019
MT,78.1,90.1,2019,2018-07-01,2019-06-30,2018,2018-2019
NC,67.3,82.1,2019,2018-07-01,2019-06-30,2018,2018-2019
ND,95.6,100,2019,2018-07-01,2019-06-30,2018,2018-2019
NE,81.4,89.1,2019,2018-07-01,2019-06-30,2018,2018-2019
NH,85.1,83.9,2019,2018-07-01,2019-06-30,2018,2018-2019
NJ,51.5,59,2019,2018-07-01,2019-06-30,2018,2018-2019
